2.12;ΜΗ ΠΡΟΣΕΤΑΙΡΙΣΤΙΚΟΙ ΔΑΚΤΥΛΙΟΙ ΚΑΙ ΑΛΓΕΒΡΕΣ;NONASSOCIATIVE RINGS AND ALGEBRAS
2.13;ΘΕΩΡΙΑ ΚΑΤΗΓΟΡΙΩΝ, ΟΜΟΛΟΓΙΚΗ ΑΛΓΕΒΡΑ;"CATEGORY THEORY, HOMOLOGICAL ALGEBRA"
2.14;Κ-ΘΕΩΡΙΑ;K-THEORY
2.15;ΘΕΩΡΙΑ ΟΜΑΔΩΝ ΚΑΙ ΓΕΝΙΚΕΥΣΕΙΣ;GROUP THEORY AND GENERALIZATIONS
2.16;ΤΟΠΟΛΟΓΙΚΕΣ ΟΜΑΔΕΣ, ΟΜΑΔΕΣ LIE;TOPOLOGICAL GROUPS, LIE GROUPS
2.17;ΠΡΑΓΜΑΤΙΚΕΣ ΣΥΝΑΡΤΗΣΕΙΣ;REAL FUNCTIONS
2.18;ΜΕΤΡΟ ΚΑΙ ΟΛΟΚΛΗΡΩΣΗ;MEASURE AND INTEGRATION
2.19;ΣΥΝΑΡΤΗΣΕΙΣ ΜΙΑΣ ΜΙΓΑΔΙΚΗΣ ΜΕΤΑΒΛΗΤΗΣ;FUNCTIONS OF A COMPLEX VARIABLE
2.20;ΘΕΩΡΙΑ ΔΥΝΑΜΙΚΟΥ;POTENTIAL THEORY
2.21;ΑΝΑΛΥΤΙΚΟΙ ΧΩΡΟΙ ΜΙΓΑΔΙΚΩΝ ΜΕΤΑΒΛΗΤΩΝ;EVERAL COMPLEX VARIABLES AND ANALYTIC SPACES
2.22;ΣΥΝΗΘΕΙΣ ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ;ORDINARY DIFFERENTIAL EQUATIONS
2.23;ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ ΜΕ ΜΕΡΙΚΕΣ ΠΑΡΑΓΩΓΟΥΣ;PARTIAL DIFFERENTIAL EQUATIONS
2.24; ΣΥΝΑΡΤΗΣΙΑΚΕΣ ΕΞΙΣΩΣΕΙΣ ΚΑΙ ΕΞΙΣΩΣΕΙΣ ΔΙΑΦΟΡΩΝ;DIFFERENCE EQUATIONS
2.25;ΑΡΜΟΝΙΚΗ ΑΝΑΛΥΣΗ ΕΠΙ ΕΥΚΛΕΙΔΕΙΩΝ ΧΩΡΩΝ;HARMONIC ANALYSIS ON EUCLIDEAN SPACES
2.26;ΟΛΟΚΛΗΡΩΤΙΚΕΣ ΕΞΙΣΩΣΕΙΣ;INTEGRAL EQUATIONS
2.27;ΣΥΝΑΡΤΗΣΙΑΚΗ ΑΝΑΛΥΣΗ;FUNCTIONAL ANALYSIS
2.28;ΘΕΩΡΙΑ ΤΕΛΕΣΤΩΝ;OPERATOR THEORY
2.29;ΛΟΓΙΣΜΟΣ ΜΕΤΑΒΟΛΩΝ ΚΑΙ ΒΕΛΤΙΣΤΟΣ ΕΛΕΓΧΟΣ, ΒΕΛΤΙΣΤΟΠΟΙΗΣΗ;"CALCULUS OF VARIATIONS AND OPTIMAL CONTROL, OPTIMIZATION "
2.30;ΓΕΩΜΕΤΡΙΑ;GEOMETRY
2.31;ΚΥΡΤΗ ΚΑΙ ΔΙΑΚΡΙΤΗ ΓΕΩΜΕΤΡΙΑ;CONVEX AND DISCRETE GEOMETRY
2.32;ΔΙΑΦΟΡΙΚΗ ΓΕΩΜΕΤΡΙΑ;DIFFERENTIAL GEOMETRY
