1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;1;-;-;547;ΤΕΧΝΟΛ. ΑΛΙΕΙΑΣ & ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΩΝ;FISHERIES & AQUACULTURE TECHNOLOGY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;2;ΔΙΟΙΚΗΣΗΣ & ΟΙΚΟΝΟΜΙΑΣ;BUSINESS ADMINISTRATION AND ECONOMICS;561;ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ;ACCOUNTING AND FINANCE
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;2;ΔΙΟΙΚΗΣΗΣ & ΟΙΚΟΝΟΜΙΑΣ;BUSINESS ADMINISTRATION AND ECONOMICS;583;ΕΜΠΟΡΙΑΣ & ΔΙΑΦΗΜΙΣΗΣ;MARKETING & ADVERTISING
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;2;ΔΙΟΙΚΗΣΗΣ & ΟΙΚΟΝΟΜΙΑΣ;BUSINESS ADMINISTRATION AND ECONOMICS;601;ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ;LIBRARY SCIENCE & INFORMATION SYSTEMS
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;2;ΔΙΟΙΚΗΣΗΣ & ΟΙΚΟΝΟΜΙΑΣ;BUSINESS ADMINISTRATION AND ECONOMICS;1001;ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ;BUSINESS ADMINISTRATION
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;617;ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ;PHYSIOTHERAPY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;623;ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ;MEDICAL LABORATORY STUDIES
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;639;ΑΙΣΘΗΤΙΚΗΣ ΚΑΙ ΚΟΣΜΗΤΟΛΟΓΙΑΣ;AESTHETICS & COSMETOLOGY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;647;ΝΟΣΗΛΕΥΤΙΚΗΣ;NURSING
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;657;ΜΑΙΕΥΤΙΚΗΣ;MIDWIFERY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;3;ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΙΑΣ & ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE;694;ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ;EARLY CHILDHOOD EDUCATION
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;4;ΤΕΧΝΟΛΟΓΙΑΣ ΓΕΩΠΟΝΙΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ;FOOD TECHNOLOGY AND NUTRITION;717;ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ;FOOD TECHNOLOGY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;4;ΤΕΧΝΟΛΟΓΙΑΣ ΓΕΩΠΟΝΙΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ;FOOD TECHNOLOGY AND NUTRITION;719;ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ;NUTRITION & DIETETICS
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;4;ΤΕΧΝΟΛΟΓΙΑΣ ΓΕΩΠΟΝΙΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΔΙΑΤΡΟΦΗΣ;FOOD TECHNOLOGY AND NUTRITION;759;ΤΕΧΝΟΛΟΓΩΝ ΓΕΩΠΟΝΩΝ;AGRICULTURAL TECHNOLOGY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;5;ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ;TECHNOLOGICAL APPLICATIONS;447;ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ Τ.Ε.;CIVIL ENGINEERING
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;5;ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ;TECHNOLOGICAL APPLICATIONS;505;ΗΛΕΚΤΡΟΝΙΚΩΝ ΜΗΧΑΝΙΚΩΝ Τ.Ε.;ELECTRONIC ENGINEERING
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;5;ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ;TECHNOLOGICAL APPLICATIONS;516;ΜΗΧΑΝΟΛΟΓΩΝ ΟΧΗΜΑΤΩΝ Τ.Ε.;VEHICLE ENGINEERING
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;5;ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ;TECHNOLOGICAL APPLICATIONS;712;ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ Τ.Ε.;INFORMATION TECHNOLOGY
1;ΑΛΕΞΑΝΔΡΕΙΟ ΤΕΙ ΘΕΣΣΑΛΟΝΙΚΗΣ;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF THESSALONIKI;5;ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ;TECHNOLOGICAL APPLICATIONS;720;ΜΗΧΑΝΙΚΩΝ ΑΥΤΟΜΑΤΙΣΜΟΥ Τ.Ε.;AUTOMATION ENGINEERING
6;ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ;ATHENS SCHOOL OF FINE ARTS;6;ΚΑΛΩΝ ΤΕΧΝΩΝ;FINE ARTS;384;ΘΕΩΡΙΑΣ ΚΑΙ ΙΣΤΟΡΙΑΣ ΤΗΣ ΤΕΧΝΗΣ;ART THEORY AND HISTORY
6;ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ;ATHENS SCHOOL OF FINE ARTS;6;ΚΑΛΩΝ ΤΕΧΝΩΝ;FINE ARTS;9997;ΕΙΚΑΣΤΙΚΩΝ ΤΕΧΝΩΝ;FINE ARTS
8;ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ;ARISTOTLE UNIVERSITY OF THESSALONIKI;7;ΓΕΩΠΟΝΙΑΣ, ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ;AGRICULTURE, FORESTRY AND NATURAL ENVIRONMENT;273;ΓΕΩΠΟΝΙΑΣ;AGRICULTURE
8;ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ;ARISTOTLE UNIVERSITY OF THESSALONIKI;7;ΓΕΩΠΟΝΙΑΣ, ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ;AGRICULTURE, FORESTRY AND NATURAL ENVIRONMENT;275;ΔΑΣΟΛΟΓΙΑΣ ΚΑΙ ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ;FORESTRY AND NATURAL ENVIRONMENT
8;ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ;ARISTOTLE UNIVERSITY OF THESSALONIKI;8;ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ;PHYSICAL EDUCATION AND SPORT SCIENCES;402;ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ  (ΣΕΡΡΩΝ);PHYSICAL EDUCATION AND SPORTS SCIENCE IN SERRES
8;ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ;ARISTOTLE UNIVERSITY OF THESSALONIKI;8;ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ;PHYSICAL EDUCATION AND SPORT SCIENCES;403;ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ;PHYSICAL EDUCATION AND SPORTS SCIENCE
